docnum,topicnum,text,TopicLabel
18,1,"Vorbild ist das Jedi-Archiv, das wohl in der Trenity Library in Dublin geführt werde. Alle Bücher der Galaxie müssen in ? vorhanden sein, möglichst auch in allen Sprachen der Galaxie.",Vorbild
19,6,"Alle dürfen ungedisst/mobbt allen alles sagen, Mein Sohn redet wieder ?",Buch Digitalisierung
20,7,"Schulausflüge zur DNB anbieten (LK Deutsch), Briefmarke 85 Cent einreichen beim BMF zum Onblic DNB",kinderfreundlich
21,2,An vielen Orten zugänglich für alle!,Begegnungsstätte
22,4,Pflanzen,Erlebnis zum Anfassen
23,1,Zugang für alle für die Welt des Buches - ein Eintritt in die Welt -,Vorbild
24,2,Vision Zukunft: kleine Bücherläden werden aussterben ,Begegnungsstätte
25,8, Ein Leben ohne Bücher ist nicht möglich!,Geschichte Museum Buch
26,8,"Jedes Buch, dass ich will, an jedem Ort, digital oder Print ",Geschichte Museum Buch
27,8,?,Geschichte Museum Buch
28,6,"Ich wünsche mir weiterhin freundliches Personal, viele Colleen Hoover Bücher und gratis Wasser und Toiletten",Buch Digitalisierung
29,8,"Ein Raum für Wasser mit den ? auf Wahrheit und bespricht vor den Fehler der Vergangenheit und Zukunft. Ein Zugang für alle, ob sie schon lesen können oder nicht ?",Geschichte Museum Buch
30,1,Sicherheit vor der Vernichtung und den Verlust von Ideen der Vergangenheit,Vorbild
31,0,"Ich sehe uns verbunden mediale und persönlich. Ich sehe uns wertschätzend und nicht moralisierend. Ich sehe uns lesend und hörend, egal ob Belle, Manga oder Romantik, egal ob Hörbuch, Töne oder Podcoast. Ich sehe uns gemeinsam wachsen und die Liebe zum Wort schützen. ",Bestand Digitalisierung
32,3,Online-Ausleihe für jeden,Gedächtnis Wissensnetz
33,1,Alle Bücherschätze werden bewahrt,Vorbild
34,4,Trotz aller Digitalisierung sollte ein Institution wie die DNB exakt so bestehen bleiben!,Erlebnis zum Anfassen
35,2, Das haptisch Erlebnisbuch erhalten!,Begegnungsstätte
36,5,Ich finde Sie machen tolle Arbeit. Dabei wünsche ich Ihnen weiterhin viel Freude. ,Frieden
37,6,Was die Angestellten der Deutschen Nationalbibliothek für das kulturelle Erbe unseres Landes tun und das jeden Tag verdient meinen höchsten Respekt,Buch Digitalisierung
38,1,"Literatur für alle und für immer, vielleicht mal mein Arbeitsplatz?, Gedrucktes Erbe in die Zukunft bringen",Vorbild
39,6,"Digitalisierung und ""Entstaubung"" des Images moderne Räume der Bildung",Buch Digitalisierung
40,8,"Zustimmung für den sächsischen Landesbibliotheksentwicklungsplan, Mindeststand der für öffentliche Bibliotheken (Bibliotheksgesetz), Erhalt von öffentlichen Bibliotheken (mit Fachpersonal), ? von ÖBs durch politische Gremien",Geschichte Museum Buch
41,1,"Nicht mehr fliehen müssen, aber ankommen ",Vorbild
42,2,"viele Sitzmöglichkeiten, viele verschiedene Themen, bisschen Digital",Begegnungsstätte
43,8,"Das Museum als Ort für individuelle und diverse Geschichte/Geschichten. Das Museum als evt. fürs Einbinden von aktuellen Themen in die Ausstellungen vor allem auch die Dauerausstellung, um so die ""staubige"" Verprugenheit und das jetzt aktiv zu verbinden.   ",Geschichte Museum Buch
44,1,"vielfältig, Indiga, super kreativ, irgendwo, Oudschool, Neuigkeiten, Einzigartig, neu",Vorbild
45,7," Eine Bibliothek in der Zukunft sehe ich ähnlich wie heute. Es gibt noch mehr Angebote. Leihgeräte wie Laptop, Tabletts, oder Speichermedien halten günstig in Bibliotheken ausreichend angeboten werden. Workspace alten auch  zu handen sein. Das Internetangebot sollte Streamingdienste Konkurrenz machen. Trinken sollte in der Nähe sichtbar sein. Im Grunde sollte sich eine Bibliothek in ein gutes Gemeinschaftsgebäude verwandeln. ",kinderfreundlich
46,4," Mit Cafè, mehr Sitzgelegenheiten, Tauschmöglichkeit, Kinderfreundlicher- lesen mit Spielen verknüpfen?",Erlebnis zum Anfassen
47,0,"Eigentlich wünsche ich mir für zukünftige Bibliotheken keine Veränderung, Bücher immer noch am liebsten aus Papier. ",Bestand Digitalisierung
48,6,"Bücherautomat, der den Wunsch direkt ausspuckt!",Buch Digitalisierung
49,7,"Mir würde es schon reichen, wenn der Analphabetismus der Vergangenheit angehört. Jeder Mensch sollte lesen und schreiben können, um das tolle und wunderbare Erlebnis in Büchern zu finden, was ich seit über 40 Jahren finde und hoffentlich noch die nächsten 100 Jahre! Mir haben Bücher immer sehr geholfen und sie beflügeln die die Phantasie, unglaublich!",kinderfreundlich
50,8,"Zusätzlich zum Präsentbestand Möglichkeit Online zu lesen und auf Bestand zuzugreifen, um möglichst allen Zugang zu ermöglichen.",Geschichte Museum Buch
51,5,"-eine Mischung aus digitalen Angeboten (e-books, etc.), aber auch noch zahlreiche ""normale"" Bücher in Papierform",Frieden
52,8,"-Café und bequeme Leseecken mit Sofas, Sesseln, Sitzkissen, etc. auch Arbeitsplätze mit Tischen und Stühlen ",Geschichte Museum Buch
53,8,"-große Bereiche für Kinder mit Möglichkeiten zum lesen, spielen und entdecken (um einen Weg weg von den digitalen das Lebens im Schatten) ",Geschichte Museum Buch
54,4,"-weiterhin ""menschliche"" Ansprechpartner, nicht nur Tablets, PC u.ä",Erlebnis zum Anfassen
55,3,"generell, dass Bibliotheken mehr genutzt werden!",Gedächtnis Wissensnetz
56,8, In Frieden Bücher aller Welt lesen und genießen!,Geschichte Museum Buch
57,5,-Große offene Räume ohne viele Regale ,Frieden
58,3,-Riesige Fenster und viel Licht ,Gedächtnis Wissensnetz
59,5,-Jedes Buch digital nutzbar,Frieden
60,5,-Lounge-Ecken und ein frischer Kaffee,Frieden
61,1,"-Eine Mischung aus Lesen, forschen und entspannen",Vorbild
62,0,->Die Bibliothek der Zukunft,Bestand Digitalisierung
63,1,Auf jeden Fall mit Büchern. Kostenlos für alle.,Vorbild
64,1,"Gemeinsame Orte für Jung & Alt. Bücher erfahrbar machen.. Barrierefreie zugänge für alle Menschen (Tasten, Hören, Schmecken, Sehen, Riechen). Design ist wichtig, da es die Menschen eher anspricht, Bücher & Materialien in die Hand zu nehmen.",Vorbild
65,6,In der Bibliothek der Zukunft soll die Digitalisierung anhand von E-books/ Apps im Vordergrund stehen. Laptop/ Tablets/ Computer sollen für alle vorhanden sein.,Buch Digitalisierung
66,7,Ihr seid toll dass ich meine Visionen vorübergehend vergessen habe,kinderfreundlich
67,6,"Tanzräume, Musikangebote Quizfragen durch ganze Bibliothek, Lernräume mit Kiosk",Buch Digitalisierung
68,6,Nicht aufhören und genauso weitermachen,Buch Digitalisierung
69,8,"Die Bibliothek der Zukunft stelle ich mir als Begegnungsort vor, in dem man sich in seiner Atmosphäre zum lesen, schnacken, Kaffee trinken trefeen kann!",Geschichte Museum Buch
70,7,Einen Computer also wo man das Buch was man braucht suchen kann.,kinderfreundlich
71,0,"Die Bibliothek der Zukunft wird ein Treffpunkt für Träume, die die Welt zum Positiven weiterentwickeln. Denn Fantasie bringt neue Ideen.",Bestand Digitalisierung
72,3,Generell könnten mehr E-Books angeboten werden und Hörbücher auf die man von Überall zugreifen kann.,Gedächtnis Wissensnetz
73,4,-mit Getränken und Essen (Café),Erlebnis zum Anfassen
74,5,-Tauschbörse für Bücher,Frieden
75,2,-Leseecke die gemütlich ist,Begegnungsstätte
76,8,-ein Spielbereich für Kinder,Geschichte Museum Buch
77,4,"Literatur per App haptisch, visuell, auditiv mit allen Sinnen erlebbar machen",Erlebnis zum Anfassen
78,3,-Demokratie weiter leben,Gedächtnis Wissensnetz
79,7,-ans Miteinander glauben,kinderfreundlich
80,2,-zum Akzeptieren streben,Begegnungsstätte
81,5,-ausleben und erbauen - offen in die Zukunft gehen...,Frieden
82,0,"Die Bibliothek der Zukunft wird ein Treffpunkt für Träumer, die die Welt zum positiven weiterentwickeln. Denn Fantasie bringt neue Ideen.",Bestand Digitalisierung
83,0,Digitalisierte Bestände,Bestand Digitalisierung
84,8,"Immer randvoll mit ""echten"" Büchern aus Papier!",Geschichte Museum Buch
85,4,"öffne dich ""noch mehr"" liebe DNB",Erlebnis zum Anfassen
86,3,Meine Vision 2024: Der Lesebär ist ein Vegetarier und frisst meine Hühner nicht mehr!,Gedächtnis Wissensnetz
87,4,Zum besseren Verständnis Blick in den DNB Katalog unter dem Namen Walkhoefer,Erlebnis zum Anfassen
88,6,"In der Bibliothek kann man seine Freizeit verbringt und Freunde mit ähnlichen Interessen kennenlernen. Dafür muss man nicht das Haus verlassen, sondern trifft sie digital. Das ist für Leute mit sozialen Äangsten gut geeignet.",Buch Digitalisierung
89,8,"Trotz aller digitaler Möglichkeiten und den Chancen darin, werden wir Menschen zurückfinden zu gedruckten Büchern, handgeschriebenen Texten und Papier. Ohne Geschichte keine Zukunft Geschichte sind Bibliotheken.",Geschichte Museum Buch
90,7,-Vor Ort erhalten,kinderfreundlich
91,7,-Hingehen und in Ruhe arbeiten,kinderfreundlich
92,8,"-Frischluft, Freisitz, Kunst und Gastronomie ",Geschichte Museum Buch
93,4,-Metadaten der Nutzer anonym erfassen um suchen für andere Nutzer zu schaffen,Erlebnis zum Anfassen
94,8,"Ich träume von einer Bibliothek, in der auch Menschen, die nicht lesen können, Freude an Büchern erleben können. Außerdem sind Sockenräume mit gemütlichen Sesseln toll!",Geschichte Museum Buch
95,1,Kostenfreie Nutzung ,Vorbild
96,1,Schnelle Bereitstellung der Bücher- auch in Frankfurt ,Vorbild
97,6,Seine magische Seite behalten,Buch Digitalisierung
98,2,"Das wirklich alle Bücher bei ihnen zu finden sind. Ihre Datensammlung hilft mir stehts weiter, vielen Dank",Begegnungsstätte
99,0,Erzähl mehr über den Wahnsinnsauftrag eurer Bibliothek ,Bestand Digitalisierung
100,8,Erkunden was war was kommen wird zu jeder freien Zeit erlesen ,Geschichte Museum Buch
101,8,-bleibt Ort mit echten Büchern,Geschichte Museum Buch
102,5,-Ort der Begegnung und des Austausch für alle ,Frieden
103,7,-Ort zum Lernen für alle,kinderfreundlich
104,1,"-Tauschecken, Infos austauschen, Nachhaltigkeit",Vorbild
105,8,"A library for everyone! With no barriers, open to all and with no censorship.",Geschichte Museum Buch
106,5,"-Platz für Kreativität, für Kinder basteln/ malen ",Frieden
107,5,-Bücher auf verschiedene Sprachen ,Frieden
108,5,-mit viel Holz/ Naturmaterialen ,Frieden
109,8,-Vegane Bücher ( aus unterschiedlichen Materialen (Gras etc.)),Geschichte Museum Buch
110,0,-möglichkeit Kinder abzugeben/ zu beschäftigen,Bestand Digitalisierung
111,5,Hoffentlich noch Bücher! ,Frieden
112,1,Renaissance der Handschrift!,Vorbild
113,7,Friedliche Welt!,kinderfreundlich
114,5,"Ich wünsche mir Ruhe, Frieden und ein gutes Miteinander. Das ist sehr wichtig für die Stimmung- Euch einen schönen Tag",Frieden
115,3,Zugänglich für alle,Gedächtnis Wissensnetz
116,8,Weiter so!,Geschichte Museum Buch
117,0,gute Öffnungszeiten bzw. Möglichkeiten,Bestand Digitalisierung
118,4,eine Führung durch die DNB,Erlebnis zum Anfassen
119,4,Einführung in den Bestand der DNB,Erlebnis zum Anfassen
120,4,online (digital) mittels mehr öffentlich wirksamen Aktionen,Erlebnis zum Anfassen
121,5,Die Menschen auch digital zu erreichen. Den Medienumbruch bewältigen zwischen analog und digital.,Frieden
122,7,"Riesen-Bücherregal, Sitzsäcke, Ruhe, tolle Sachen",kinderfreundlich
123,3,Nischenthemen bleiben lieber keine solchen,Gedächtnis Wissensnetz
124,2,"Die Bibliothek der Zukunft als eine interaktive Begegnungsstätte dar, in der Jung und Alt nicht nur aus Medien, sondern auch voneinander lernt. Sie soll nicht nur ein Gedächtnis sein, sondern ein kleiner Teil unserer Gegenwart mal Zukunft.",Begegnungsstätte
125,8,"Bücher gehören hoffentlich nicht der Vergangenheit an. Vielleicht wird alles einfacher, zu finden sein durch Digitalisierung usw.",Geschichte Museum Buch
126,8,"Ich wünsche mir, dass auch in Zukunft noch viele Menschen in die Bibliothek kommen um gedruckte Bücher zu lesen.",Geschichte Museum Buch
