docnum,topicnum,text,TopicLabel
19,4,"Auch wenn die Relevanz des Papiers in der Zukunft weiter schwinden mag, bleibt doch die Relevanz der Bücher und mit ihr die der Bibliotheken. Denn auch ein noch so moderner Computer kann niemals diesen Ort der greifbaren Bildung und Kreativität ersetzen. Während Digitalisierung auch in Bibliotheken Vereinfachungen bringen wird, bleiben doch auch die physischen Bücher, vollkommen unersetzbar.",Gedächtnis
20,8,Das komplette Gedächtnis ist via Internet für jedermann frei zugänglich und jederzeit verfügbar. Technisch ist die Schnittstelle jederzeit auf dem Stand der Technik und einfach nutzbar über beliebige Apps/KI/Suchfunktion (Offene Digitalisierung zum Gemeinwohl),offener Zugang
21,4,Ich wünsche mir ein neues kurzes Video a la Gedächtnis der Nation! Und auch gerne ein Video zur dt. Bibliographie! DNB,Gedächtnis
22,9,"Eine Bibliothek, in der Hierarchien nur mehr in Klassifikationen und zwischen Schlagwörtern eine Rolle spielen.",Digitalisierung
23,3,DNB als eine Art Meta-Suchmaschine? (nicht nur für/über eigene Inhalte!),Bestand Wissenschaft
24,10,Zu den Menschen gehen,Bewahren Verknüpfen
25,4,Digitale Medien,Gedächtnis
26,0,Raum für Zusammenarbeit und Austausch,Zusammenarbeit Treffpunkt
27,8,"Nicht kommerzieller Ort für Ruhe, Wissen und Sein",offener Zugang
28,5,"Multimedialer Erfahrungsort, an dem man sich gerne aufhält und trifft",Treffpunkt Bibliothek Museum
29,4,Die Bibliothek der Zukunft:,Gedächtnis
30,4,Ein offener Raum für die Gemeinschaft,Gedächtnis
31,8,Öffentlich,offener Zugang
32,7,Menschen zusammenbringen,Vergangenheit
33,0,Vermittlung von Kenntnissen,Zusammenarbeit Treffpunkt
34,0,Open library 24/7 all over the world,Zusammenarbeit Treffpunkt
35,5,Kostenlose Bibliotheksausweise für jeden,Treffpunkt Bibliothek Museum
36,6,"Technik ist doch Zukunft, deshalb freuen wir (Universität København) uns darauf, viele Schätze auch digitalisiert sehen zu können. Und weiterhin wünschen wir uns, das Kulturgut zu wahren, sowohl in der guten alten Buchform, als auch durch die persönliche Betreuung vor Ort.",Buch Galaxie
37,0,Open Access für alle!,Zusammenarbeit Treffpunkt
38,0,Open library überall!,Zusammenarbeit Treffpunkt
39,9,Bibliothek immer kostenlos!,Digitalisierung
40,9,Mehr unabhängige Verlage in Bibliotheken!,Digitalisierung
41,2,"Ich finde es gut, dass es die Nationalbibliothek gibt! Denn so geht das Wissen nicht verloren!",Cloud
42,9,Mein Zukunftswunsch: Dass die Bibliotheken der Zukunft für alle kostenlos zur Verfügung stehen!,Digitalisierung
43,10,"Zum Verknüpfen von Wissen wünsche ich mir die Darstellung eines Autoren-/Personennetzwerkes, das die Verbindungen der Autoren untereinander nachvollziehen lässt.",Bewahren Verknüpfen
44,9,"Theaterstück als VR gespeichert, damit man es in der Bibliothek schauen kann (auch Orchester, und viel mehr!)",Digitalisierung
45,4,Die Bibliothek der Zukunft: Bücherregal mit integrierten Bildschirmen,Gedächtnis
46,9,"Mehr,  mehr, mehr, nicht verstecken, sondern in Erscheinung treten.",Digitalisierung
47,10,"Wir wünschen uns eine DNB, die offen und inklusiv bleibt und sich den Charakter als fach- und milieuübergreifenden Ort akademischen Austauschs bewahrt. Trinken im Lesesaal wäre aber auch nett! ( und dringend nötig)",Bewahren Verknüpfen
48,4,"Die Bibliothek der Zukunft hat hoffentlich noch ""echte"" Bücher. Der Ort sollte Ruhe ausstrahlen. So, wie sie jetzt ist, ist die DNB gut.",Gedächtnis
49,9,Eine supergute Einrichtung!! Weiter so!,Digitalisierung
50,7,Das gemeinsame Leiden lindert es angeblich (Lächeln). Die Möglichkeit gemeinsam zu recherchieren.,Vergangenheit
51,1,Weiterhin eine vielfältige Auswahl an Büchern.,Kaffee
52,8,Die Bücher werden einem zugestellt indem man daran denkt.,offener Zugang
53,8,"Eine Vision von einem Arbeitgeber, der seine Mitarbeiter*innen schätzt, fördert und vertrauensvoll mit ihnen umgeht",offener Zugang
54,6,(noch) mehr auf sich aufmerksam machen – der Auftritt hier ist schon ein guter Anfang!,Buch Galaxie
55,4,Eine Ausstellung mit Büchern afrikanischer und deutscher Schriftsteller zu der deutschen Kolonialzeit in Afrika,Gedächtnis
56,1,Die Bibliothek wird mehr sein als Bücherausleihe.,Kaffee
57,4,Begegnung/Nachhaltigkeit/Wissen + Dinge teilen/Diversität/Kreativität/alt + jung ☺,Gedächtnis
58,7,I think the book will survive the digital world. There is nothing comparable to taking a book to the beach and read it.,Vergangenheit
59,8,Engere Vernetzung mit den öffentlichen Bibliotheken.,offener Zugang
60,6,Coverfotos der Bücher im DNB-Datensatz,Buch Galaxie
61,3,"Ein Versuch, zu entziffern:",Bestand Wissenschaft
62,5,"La Biblioteca dovrebbe essere un luogo aperto ai giovani(?) fino alla sera, un luogo di incontro(?)/menutia (= ""Die Bibliothek sollte ein für die Jugend bis zum Abend geöffneter Ort sein, ein Ort, an dem man sich treffen kann/an dem man unterhalten wird"")",Treffpunkt Bibliothek Museum
63,8,Ein Zugang zu allen Büchern der Welt an einem Ort. Über digitale Wege oder Austausch der Bibliotheken,offener Zugang
64,8,Die Möglichkeit ins Buch hineinzugehen. Weitere Informationen auf Klick erhalten ohne das Buch zzu verlassen wie Wikipedia aber über Buchverlinkung etc.,offener Zugang
65,6,Digitaler werden,Buch Galaxie
66,10,mögen alle Publikationsformen gut untereinander auskommen - alles muß möglich sein!,Bewahren Verknüpfen
67,6,"Ich würde mich freuen, wenn das Angebot und die unglaubliche Vielfalt der DNB mehr bekannt gemacht werden. Auch  - und vielleicht hier besonders - bei jungen Leuten. Und auf ""altmodischen Kanälen"" für ältere Herrschaften, die aus dieser Wissenssammlung Rückblick auf ihr Leben nehmen können.",Buch Galaxie
68,2,"Es wäre toll, wenn es auch einmal - neben den tollen, vielfältigen und hochwertigen Literaturveranstaltungen in ihrem aus etwas zur Geschichte der Kriminialromane gäbe. (Lächeln)",Cloud
69,9,Bibliotheken kämpfen für sich → öffnen,Digitalisierung
70,0,mit 1 Ausweis alle besuchen,Zusammenarbeit Treffpunkt
71,10,Eine Karte für alle!,Bewahren Verknüpfen
72,4,Die Bibliothek der Zukunft...,Gedächtnis
73,0,"... bietet offene, flexible Arbeitsplätze, um das Lernen und Zusammenarbeiten bestmöglich zu unterstützen.",Zusammenarbeit Treffpunkt
74,6,"... bietet neue Konzepte, um Lese- und Medienkompetenz zu lehren.",Buch Galaxie
75,6,"Die Bibliothek der Zukunft hat Formate für jede*n: Hörbücher für meinen kleinen Bruder beim Legobauen, E-Books für meine Eltern auf Geschäftsreise, Taschenbücher & großformatige Kinderbücher/-bilder und (Video-)Spiele, die man sonst nirgends spielen kann.",Buch Galaxie
76,0,"Große + kleine, viele Räume für die unterschiedlichen Bedürfnisse",Zusammenarbeit Treffpunkt
77,8,Nationale Treffen für Auszubildende,offener Zugang
78,1,Hintergrundgeräusche/Musik im Hintergrund,Kaffee
79,9,LEDs,Digitalisierung
80,7,Beanbags,Vergangenheit
81,5,gedimmte Lichter,Treffpunkt Bibliothek Museum
82,7,Coffee-Shop,Vergangenheit
83,1,Bibliotheken sind die Wohnzimmer der Stadt/Dorf... & im Grundgesetz verankert. KI & Bücher harmonisch vereint,Kaffee
84,8,"mehr Lobbyarbeit um rechtlich Wege zu ermoglichen, Remote-Access auf urheberrechtlich geschütztes Material zu ermöglichen!",offener Zugang
85,9,eher Stadtbibliotheken:,Digitalisierung
86,1,lebendige Umgebung mit Pflanzen,Kaffee
87,4,Bücher und Hörbücher auch in Fremdsprachen,Gedächtnis
88,7,Ausbau von elektronischen Ausleihen,Vergangenheit
89,0,Modulare Räume → Stillesaal - Lesesaal - Schreibsaal → kooperatives Schreiben,Zusammenarbeit Treffpunkt
90,3,Öffnen für besondere Schreibanlässe (wissenschaftlich und nicht-wissenschaftlich),Bestand Wissenschaft
91,5,"Bibliotheken werden mehr zu Orten, um sich zu treffen, zu begegnen und zu lernen. Während immer mehr digitalisiert wird, wird trotzdem, oder gerade deswegen, die Archivfunktion wichtiger. Wenn alle Server abstürzen, dann ist es gut, wenn wir noch Zugriff auf das Wissen haben (ähnlich der Saatgut-Safedingens in Grönland)! Mein Buch liegt auch bei euch ♥",Treffpunkt Bibliothek Museum
92,9,ganz viele Hängesessel zum entspannen,Digitalisierung
93,1,statt Bücher iPads mit eBooks,Kaffee
94,7,Stationen zum Podcast hören,Vergangenheit
95,0,"Kreativworkshops, z. B. Malen, Zeitmanagement",Zusammenarbeit Treffpunkt
96,6,"Schulungen, Lesungen passend zur DNB, Tag der offenen Tür",Buch Galaxie
97,10,"Bibliotheken als Begegnungsstätten. Gemeinsam lesen, forschen und schreiben!",Bewahren Verknüpfen
98,9,Keine Mahngebühren in Büchereien und Bibliotheken,Digitalisierung
99,5,Digitale 360-Grad-Führungen durch die Lesesäle und das Magazin,Treffpunkt Bibliothek Museum
100,10,"Bibliotheken könnten bewegliche Regale haben, die von körperlich eingeschränkten, kleineren Menschen bedient werden können, um auch an die obersten Regalreihen zu kommen. Ohne sich auf Elefantenfüße stellen zu müssen oder andere um Hilfe zu bitten.",Bewahren Verknüpfen
101,5,"Und ein Ort, an dem sich Menschen treffen können, die aus verschiedenen Kulturen kommen und sich untereinander ohne Probleme austauschen können mit Geräten, die über Sprachbarrieren helfen können.",Treffpunkt Bibliothek Museum
102,2,Kinder wieder zum Lesen bringen!,Cloud
103,5,Azubis aus Hamburg machen ihr Praktikum in der DNB Frankfurt/Leipzig.,Treffpunkt Bibliothek Museum
104,5,Kostenfreier Zugang zu Bibliotheken & Medien.,Treffpunkt Bibliothek Museum
105,10,Fleißarbeit wie Katalogisieren an KI outsourcen und Menschen für die Arbeit mit Menschen einsetzen.,Bewahren Verknüpfen
106,6,Altes und Neues,Buch Galaxie
107,1,Bücher aus Papier,Kaffee
108,6,Vielfalt,Buch Galaxie
109,0,geschützter Raum,Zusammenarbeit Treffpunkt
110,7,Stille und Lebendigkeit,Vergangenheit
111,2,Eine große cloud auf die alle Zugang haben. Evtl. via VR Brille/Konopfdruck hoch beamen. Buch/Bücher aussuchen & mit Drohne nach Hause bestellen oder mit Knopfdruck von der cloud runter beamen.,Cloud
112,0,→ Gewünschte Ausleihdauer aussuchen & nach Ablauf beamt sich selbst zurück.,Zusammenarbeit Treffpunkt
113,0,Generell:,Zusammenarbeit Treffpunkt
114,5,"Bibliotheken sollten Orte der Begegnung für alle werden. Für die einen Rückzugsort, für die anderen ein Ort um Kontakte zu knüpfen und weniger allein zu sein. Ein Ort zum Lernen (in vielerlei Hinsicht) und leben.",Treffpunkt Bibliothek Museum
115,2,Für die Nationalbibliothek:,Cloud
116,8,Ein offener Ort an dem man über die Vergangenheit lernen kann und kostenfrei Zugang zu Wissen ermöglicht.,offener Zugang
117,5,"Die Bibliothek der Zukunft ist eine Bibliothek, die für alle Menschen offen ist und für jeden Menschen ein passendes Medium hat. Sie befindet sich in einem großen Glasgebäude und hat große Lesesäle. Die Open-Access Bewegung hat sich durchgesetzt, sodass der Bestand der Bibliothek sich stark vergrößert. Die Bibliothek der Zukunft hat viele Besucher. Jeder zweite geht regelmäßig und gern in die Bibliothek. ",Treffpunkt Bibliothek Museum
118,2,"Bisschen mehr Bepflanzung, kostenloses W-LAN",Cloud
119,9,"Man gibt in Tabletts ein, was für ein Buch man lesen möchte. Danach kommt es automatisch zu einem. (Bücher-Laufband)",Digitalisierung
120,10,Bücher müssen bleiben!,Bewahren Verknüpfen
121,9,Das es Bibliotheken noch 111 Jahre gibt!,Digitalisierung
122,4,"Bitte alles sammeln und aktiv und kreativ Beziehungen zwischen Publikationen herstellen und zugänglich machen. Ein Wissensnetz - um den publizistischen Gedächtnis so umzugehen, dass Erkenntnisse gewonnen werden können. Für die Zukunft unser Sprache und Kultur ",Gedächtnis
123,9,"Mehr Privatsphäre, z.B. durch Bücherregale (und mehr Digitalisierung, aber ich nutze die Bibliothek eher zum Lernen)",Digitalisierung
124,2,Bibliotheken sollen sichtbare Orte sein und an gesellschaftlichen Diskurs teilnehmen. Kulturinstitutionen und Bildungseinrichtungen bilden das Fundament für unsere Demokratie. ,Cloud
125,5,-digitale Abrufbarkeit historischer Dokumente ,Treffpunkt Bibliothek Museum
126,8,-Vereinfachung der Vereinfachung der Bearbeitung von Dokumenten bei verfassungsfreundlichen Texten,offener Zugang
127,2,Frieden!,Cloud
128,9,Das auch indizierte Bücher dann jeden wieder zu lesen gibt und das jeden Buch zur Verfügung steht und schallgeschützte Leseecken gibt. ,Digitalisierung
129,9,"Ich wünsche mir ein Portal wie Gallia der Bibliothek historische, in den man idealer weise alles digitalisiert vorfinden kann. ",Digitalisierung
130,7,Vielleicht machen Sie einen Doku-Film über das Jubiläum und 111 Kinder sagen ihre wünsche für die Kinder im Jahr (2023+111=2134),Vergangenheit
131,1,"Filmangebote, begrünte Leseräume, interaktive Räume zum lernen",Kaffee
132,5,"Museum als Ort der Begegnung, des Diskurses und des Wissensaustausches; diverse Perspektiven und barrierefreie Begleitangebote im DBSM.",Treffpunkt Bibliothek Museum
133,9,"Stationen für Kinder mit Unterhaltungsquizzen (z.B. zu Computern), W-Lan in der Bibliothek, Tanzveranstaltungen mehrmals im Jahr (für verschiedene Stilrichtungen) ",Digitalisierung
134,3,"-freie Reihen, groß, hell, offen, eine zentrale Farke",Bestand Wissenschaft
135,6,"Vorbild ist das Jedi-Archiv, das wohl in der Trenity Library in Dublin geführt werde. Alle Bücher der Galaxie müssen in ? vorhanden sein, möglichst auch in allen Sprachen der Galaxie.",Buch Galaxie
136,7,"Alle dürfen ungedisst/mobbt allen alles sagen, Mein Sohn redet wieder ?",Vergangenheit
137,10,"Schulausflüge zur DNB anbieten (LK Deutsch), Briefmarke 85 Cent einreichen beim BMF zum Onblic DNB",Bewahren Verknüpfen
138,4,An vielen Orten zugänglich für alle!,Gedächtnis
139,1,Pflanzen,Kaffee
140,8,Zugang für alle für die Welt des Buches - ein Eintritt in die Welt -,offener Zugang
141,7,Vision Zukunft: kleine Bücherläden werden aussterben ,Vergangenheit
142,6, Ein Leben ohne Bücher ist nicht möglich!,Buch Galaxie
143,4,"Jedes Buch, dass ich will, an jedem Ort, digital oder Print ",Gedächtnis
144,4,?,Gedächtnis
145,10,"Ich wünsche mir weiterhin freundliches Personal, viele Colleen Hoover Bücher und gratis Wasser und Toiletten",Bewahren Verknüpfen
146,5,"Ein Raum für Wasser mit den ? auf Wahrheit und bespricht vor den Fehler der Vergangenheit und Zukunft. Ein Zugang für alle, ob sie schon lesen können oder nicht ?",Treffpunkt Bibliothek Museum
147,7,Sicherheit vor der Vernichtung und den Verlust von Ideen der Vergangenheit,Vergangenheit
148,8,"Ich sehe uns verbunden mediale und persönlich. Ich sehe uns wertschätzend und nicht moralisierend. Ich sehe uns lesend und hörend, egal ob Belle, Manga oder Romantik, egal ob Hörbuch, Töne oder Podcoast. Ich sehe uns gemeinsam wachsen und die Liebe zum Wort schützen. ",offener Zugang
149,8,Online-Ausleihe für jeden,offener Zugang
150,2,Alle Bücherschätze werden bewahrt,Cloud
151,10,Trotz aller Digitalisierung sollte ein Institution wie die DNB exakt so bestehen bleiben!,Bewahren Verknüpfen
152,5, Das haptisch Erlebnisbuch erhalten!,Treffpunkt Bibliothek Museum
153,7,Ich finde Sie machen tolle Arbeit. Dabei wünsche ich Ihnen weiterhin viel Freude. ,Vergangenheit
154,7,Was die Angestellten der Deutschen Nationalbibliothek für das kulturelle Erbe unseres Landes tun und das jeden Tag verdient meinen höchsten Respekt,Vergangenheit
155,6,"Literatur für alle und für immer, vielleicht mal mein Arbeitsplatz?, Gedrucktes Erbe in die Zukunft bringen",Buch Galaxie
156,3,"Digitalisierung und ""Entstaubung"" des Images moderne Räume der Bildung",Bestand Wissenschaft
157,8,"Zustimmung für den sächsischen Landesbibliotheksentwicklungsplan, Mindeststand der für öffentliche Bibliotheken (Bibliotheksgesetz), Erhalt von öffentlichen Bibliotheken (mit Fachpersonal), ? von ÖBs durch politische Gremien",offener Zugang
158,0,"Nicht mehr fliehen müssen, aber ankommen ",Zusammenarbeit Treffpunkt
159,4,"viele Sitzmöglichkeiten, viele verschiedene Themen, bisschen Digital",Gedächtnis
160,5,"Das Museum als Ort für individuelle und diverse Geschichte/Geschichten. Das Museum als evt. fürs Einbinden von aktuellen Themen in die Ausstellungen vor allem auch die Dauerausstellung, um so die ""staubige"" Verprugenheit und das jetzt aktiv zu verbinden.   ",Treffpunkt Bibliothek Museum
161,6,"vielfältig, Indiga, super kreativ, irgendwo, Oudschool, Neuigkeiten, Einzigartig, neu",Buch Galaxie
162,9," Eine Bibliothek in der Zukunft sehe ich ähnlich wie heute. Es gibt noch mehr Angebote. Leihgeräte wie Laptop, Tabletts, oder Speichermedien halten günstig in Bibliotheken ausreichend angeboten werden. Workspace alten auch  zu handen sein. Das Internetangebot sollte Streamingdienste Konkurrenz machen. Trinken sollte in der Nähe sichtbar sein. Im Grunde sollte sich eine Bibliothek in ein gutes Gemeinschaftsgebäude verwandeln. ",Digitalisierung
163,10," Mit Cafè, mehr Sitzgelegenheiten, Tauschmöglichkeit, Kinderfreundlicher- lesen mit Spielen verknüpfen?",Bewahren Verknüpfen
164,2,"Eigentlich wünsche ich mir für zukünftige Bibliotheken keine Veränderung, Bücher immer noch am liebsten aus Papier. ",Cloud
165,5,"Bücherautomat, der den Wunsch direkt ausspuckt!",Treffpunkt Bibliothek Museum
166,7,"Mir würde es schon reichen, wenn der Analphabetismus der Vergangenheit angehört. Jeder Mensch sollte lesen und schreiben können, um das tolle und wunderbare Erlebnis in Büchern zu finden, was ich seit über 40 Jahren finde und hoffentlich noch die nächsten 100 Jahre! Mir haben Bücher immer sehr geholfen und sie beflügeln die die Phantasie, unglaublich!",Vergangenheit
167,4,"Zusätzlich zum Präsentbestand Möglichkeit Online zu lesen und auf Bestand zuzugreifen, um möglichst allen Zugang zu ermöglichen.",Gedächtnis
168,9,"-eine Mischung aus digitalen Angeboten (e-books, etc.), aber auch noch zahlreiche ""normale"" Bücher in Papierform",Digitalisierung
169,6,"-Café und bequeme Leseecken mit Sofas, Sesseln, Sitzkissen, etc. auch Arbeitsplätze mit Tischen und Stühlen ",Buch Galaxie
170,3,"-große Bereiche für Kinder mit Möglichkeiten zum lesen, spielen und entdecken (um einen Weg weg von den digitalen das Lebens im Schatten) ",Bestand Wissenschaft
171,8,"-weiterhin ""menschliche"" Ansprechpartner, nicht nur Tablets, PC u.ä",offener Zugang
172,5,"generell, dass Bibliotheken mehr genutzt werden!",Treffpunkt Bibliothek Museum
173,2, In Frieden Bücher aller Welt lesen und genießen!,Cloud
174,6,-Große offene Räume ohne viele Regale ,Buch Galaxie
175,0,-Riesige Fenster und viel Licht ,Zusammenarbeit Treffpunkt
176,10,-Jedes Buch digital nutzbar,Bewahren Verknüpfen
177,1,-Lounge-Ecken und ein frischer Kaffee,Kaffee
178,5,"-Eine Mischung aus Lesen, forschen und entspannen",Treffpunkt Bibliothek Museum
179,4,->Die Bibliothek der Zukunft,Gedächtnis
180,4,Auf jeden Fall mit Büchern. Kostenlos für alle.,Gedächtnis
181,9,"Gemeinsame Orte für Jung & Alt. Bücher erfahrbar machen.. Barrierefreie zugänge für alle Menschen (Tasten, Hören, Schmecken, Sehen, Riechen). Design ist wichtig, da es die Menschen eher anspricht, Bücher & Materialien in die Hand zu nehmen.",Digitalisierung
182,9,In der Bibliothek der Zukunft soll die Digitalisierung anhand von E-books/ Apps im Vordergrund stehen. Laptop/ Tablets/ Computer sollen für alle vorhanden sein.,Digitalisierung
183,1,Ihr seid toll dass ich meine Visionen vorübergehend vergessen habe,Kaffee
184,4,"Tanzräume, Musikangebote Quizfragen durch ganze Bibliothek, Lernräume mit Kiosk",Gedächtnis
185,3,Nicht aufhören und genauso weitermachen,Bestand Wissenschaft
186,1,"Die Bibliothek der Zukunft stelle ich mir als Begegnungsort vor, in dem man sich in seiner Atmosphäre zum lesen, schnacken, Kaffee trinken trefeen kann!",Kaffee
187,1,Einen Computer also wo man das Buch was man braucht suchen kann.,Kaffee
188,0,"Die Bibliothek der Zukunft wird ein Treffpunkt für Träume, die die Welt zum Positiven weiterentwickeln. Denn Fantasie bringt neue Ideen.",Zusammenarbeit Treffpunkt
189,4,Generell könnten mehr E-Books angeboten werden und Hörbücher auf die man von Überall zugreifen kann.,Gedächtnis
190,8,-mit Getränken und Essen (Café),offener Zugang
191,1,-Tauschbörse für Bücher,Kaffee
192,4,-Leseecke die gemütlich ist,Gedächtnis
193,2,-ein Spielbereich für Kinder,Cloud
194,1,"Literatur per App haptisch, visuell, auditiv mit allen Sinnen erlebbar machen",Kaffee
195,0,-Demokratie weiter leben,Zusammenarbeit Treffpunkt
196,2,-ans Miteinander glauben,Cloud
197,6,-zum Akzeptieren streben,Buch Galaxie
198,0,-ausleben und erbauen - offen in die Zukunft gehen...,Zusammenarbeit Treffpunkt
199,0,"Die Bibliothek der Zukunft wird ein Treffpunkt für Träumer, die die Welt zum positiven weiterentwickeln. Denn Fantasie bringt neue Ideen.",Zusammenarbeit Treffpunkt
200,3,Digitalisierte Bestände,Bestand Wissenschaft
201,4,"Immer randvoll mit ""echten"" Büchern aus Papier!",Gedächtnis
202,3,"öffne dich ""noch mehr"" liebe DNB",Bestand Wissenschaft
203,9,Meine Vision 2024: Der Lesebär ist ein Vegetarier und frisst meine Hühner nicht mehr!,Digitalisierung
204,5,Zum besseren Verständnis Blick in den DNB Katalog unter dem Namen Walkhoefer,Treffpunkt Bibliothek Museum
205,5,"In der Bibliothek kann man seine Freizeit verbringt und Freunde mit ähnlichen Interessen kennenlernen. Dafür muss man nicht das Haus verlassen, sondern trifft sie digital. Das ist für Leute mit sozialen Äangsten gut geeignet.",Treffpunkt Bibliothek Museum
206,1,"Trotz aller digitaler Möglichkeiten und den Chancen darin, werden wir Menschen zurückfinden zu gedruckten Büchern, handgeschriebenen Texten und Papier. Ohne Geschichte keine Zukunft Geschichte sind Bibliotheken.",Kaffee
207,6,-Vor Ort erhalten,Buch Galaxie
208,10,-Hingehen und in Ruhe arbeiten,Bewahren Verknüpfen
209,2,"-Frischluft, Freisitz, Kunst und Gastronomie ",Cloud
210,4,-Metadaten der Nutzer anonym erfassen um suchen für andere Nutzer zu schaffen,Gedächtnis
211,4,"Ich träume von einer Bibliothek, in der auch Menschen, die nicht lesen können, Freude an Büchern erleben können. Außerdem sind Sockenräume mit gemütlichen Sesseln toll!",Gedächtnis
212,8,Kostenfreie Nutzung ,offener Zugang
213,6,Schnelle Bereitstellung der Bücher- auch in Frankfurt ,Buch Galaxie
214,6,Seine magische Seite behalten,Buch Galaxie
215,7,"Das wirklich alle Bücher bei ihnen zu finden sind. Ihre Datensammlung hilft mir stehts weiter, vielen Dank",Vergangenheit
216,6,Erzähl mehr über den Wahnsinnsauftrag eurer Bibliothek ,Buch Galaxie
217,9,Erkunden was war was kommen wird zu jeder freien Zeit erlesen ,Digitalisierung
218,4,-bleibt Ort mit echten Büchern,Gedächtnis
219,4,-Ort der Begegnung und des Austausch für alle ,Gedächtnis
220,9,-Ort zum Lernen für alle,Digitalisierung
221,3,"-Tauschecken, Infos austauschen, Nachhaltigkeit",Bestand Wissenschaft
222,4,"A library for everyone! With no barriers, open to all and with no censorship.",Gedächtnis
223,5,"-Platz für Kreativität, für Kinder basteln/ malen ",Treffpunkt Bibliothek Museum
224,0,-Bücher auf verschiedene Sprachen ,Zusammenarbeit Treffpunkt
225,4,-mit viel Holz/ Naturmaterialen ,Gedächtnis
226,8,-Vegane Bücher ( aus unterschiedlichen Materialen (Gras etc.)),offener Zugang
227,0,-möglichkeit Kinder abzugeben/ zu beschäftigen,Zusammenarbeit Treffpunkt
228,7,Hoffentlich noch Bücher! ,Vergangenheit
229,2,Renaissance der Handschrift!,Cloud
230,8,Friedliche Welt!,offener Zugang
231,10,"Ich wünsche mir Ruhe, Frieden und ein gutes Miteinander. Das ist sehr wichtig für die Stimmung- Euch einen schönen Tag",Bewahren Verknüpfen
232,4,Zugänglich für alle,Gedächtnis
233,4,Weiter so!,Gedächtnis
234,9,gute Öffnungszeiten bzw. Möglichkeiten,Digitalisierung
235,1,eine Führung durch die DNB,Kaffee
236,3,Einführung in den Bestand der DNB,Bestand Wissenschaft
237,5,online (digital) mittels mehr öffentlich wirksamen Aktionen,Treffpunkt Bibliothek Museum
238,0,Die Menschen auch digital zu erreichen. Den Medienumbruch bewältigen zwischen analog und digital.,Zusammenarbeit Treffpunkt
239,7,"Riesen-Bücherregal, Sitzsäcke, Ruhe, tolle Sachen",Vergangenheit
240,0,Nischenthemen bleiben lieber keine solchen,Zusammenarbeit Treffpunkt
241,4,"Die Bibliothek der Zukunft als eine interaktive Begegnungsstätte dar, in der Jung und Alt nicht nur aus Medien, sondern auch voneinander lernt. Sie soll nicht nur ein Gedächtnis sein, sondern ein kleiner Teil unserer Gegenwart mal Zukunft.",Gedächtnis
